reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
0.14,229.1428571,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,21.71428571,0.43,0.57,27.85714286,0.142857143,0.714285714,-36.57142857,-0.714285714,0,0,0,0,0,0.321428571,-2.178571429,1,0.07
0.14,15.14285714,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
6.71,3788,-2.29,4.43,5434.428571,-4.428571429,0,0,0,0,0,0,0,0,1.107142857,1358.607143,1,3.13
0.14,17,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.29,422,4.71,5.00,3848.428571,0,5,3924.571429,3.857142857,8.857142857,10538,-6.285714286,2.571428571,3184.714286,5.357142857,5373.928571,1,3.73
21.86,3283.714286,-16.14,5.71,1164.285714,-3.142857143,2.571428571,371.8571429,11.71428571,14.28571429,2555.428571,2.285714286,16.57142857,2233.285714,9.785714286,1581.214286,1,3.20
0.29,3.714285714,-0.14,0.14,-7.428571429,-0.142857143,0,0,0,0,0,0,0,0,0.035714286,-1.857142857,1,-0.07
0.43,11,-0.43,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
13.29,1276.285714,-10.14,3.14,1058.142857,-3,0.142857143,-6,5.714285714,5.857142857,1396.428571,5.142857143,11,2207.285714,5.035714286,1163.964286,1,3.07
0.43,-1707.142857,-0.43,0.00,0,0.571428571,0.571428571,-709,-0.571428571,0,0,0,0,0,0.142857143,-177.25,1,2.25
0.71,1.857142857,-0.71,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,11.14285714,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
85.00,-17078.85714,32.86,117.86,-20849.57143,62.14285714,180,-23784,-24.28571429,155.7142857,-9400.571429,5.857142857,161.5714286,4833.857143,153.7857143,-12300.07143,1,4.09
0.71,169.2857143,-0.57,0.14,83.42857143,-0.142857143,0,0,0,0,0,0,0,0,0.035714286,20.85714286,1,1.34
27.57,206.5714286,-19.00,8.57,1447.428571,4.285714286,12.85714286,98.28571429,-9.571428571,3.285714286,29.14285714,3.857142857,7.142857143,2777.142857,7.964285714,1088,1,3.04
0.14,15.57142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,3,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,47.57142857,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
